dataset	imbalance_ratio	MV	FNNWV
ecoli-0_vs_1	1.86	63.79	93.82
ecoli1	3.36	60.28	81.53
ecoli2	5.46	47.83	80.23
ecoli3	8.60	42.11	73.04
glass-0-1-2-3_vs_4-5-6	3.20	55.70	83.90
glass0	2.06	70.56	71.87
glass1	1.82	71.09	76.40
glass6	6.38	53.80	74.69
haberman	2.78	60.18	63.53
iris0	2.00	70.44	100.00
new-thyroid1	5.14	57.15	88.90
newthyroid2	5.14	53.43	85.14
page-blocks0	8.79	47.79	37.09
pima	1.87	67.30	72.90
segment0	6.02	50.53	80.72
vehicle0	3.25	62.70	77.50
vehicle1	2.90	56.79	61.35
vehicle2	2.88	61.65	70.17
vehicle3	2.99	62.31	62.49
wisconsin	1.86	62.46	92.20
yeast1	2.46	61.71	69.40
yeast3	8.10	42.41	62.80
