dataset	examples	classes	MV	IWMV	PLAT	MNLDP	LAWMV	FNNWV
ecoli-0_vs_1	220	2	71.32	71.65	71.32	90.73	94.81	95.26
ecoli1	336	2	60.22	60.57	60.22	80.08	82.71	79.71
ecoli2	336	2	51.82	52.32	51.82	77.35	82.16	78.44
ecoli3	336	2	43.12	43.84	40.74	61.77	51.43	72.78
glass-0-1-2-3_vs_4-5-6	214	2	62.53	63.43	62.53	81.34	82.81	81.91
glass0	214	2	65.00	64.85	65.00	72.04	74.52	71.92
glass1	214	2	68.95	69.18	68.95	73.09	68.63	71.72
glass6	214	2	48.50	48.50	46.11	72.26	73.61	80.14
haberman	306	2	60.92	61.00	60.92	52.03	40.02	58.30
iris0	150	2	71.48	71.01	71.48	91.88	99.80	99.90
new-thyroid1	215	2	48.14	49.45	48.14	76.22	72.88	85.03
newthyroid2	215	2	53.61	53.66	51.76	79.19	73.92	85.53
page-blocks0	5472	2	43.03	43.54	43.03	72.32	13.22	43.26
pima	768	2	64.20	64.20	64.20	64.69	62.71	70.91
segment0	2308	2	51.95	51.95	49.42	81.97	80.05	82.15
vehicle0	846	2	58.35	58.35	58.35	79.80	66.20	77.19
vehicle1	846	2	61.76	61.76	61.76	61.77	48.10	63.87
vehicle2	846	2	59.39	59.39	59.39	79.47	60.83	66.09
vehicle3	846	2	60.59	60.59	60.59	62.55	51.76	61.82
wisconsin	683	2	71.19	71.19	71.19	91.54	94.26	93.43
yeast1	1484	2	64.35	64.35	64.35	63.43	58.22	71.26
yeast3	1484	2	44.45	45.21	44.45	68.65	45.46	69.93
average			58.40	58.64	57.99	74.28	67.19	75.48
